"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"04.01.2018 04:00 - 04.01.2018 04:15","46302","52319"
"04.01.2018 04:15 - 04.01.2018 04:30","46619","52453"
"04.01.2018 04:30 - 04.01.2018 04:45","47009","52802"
"04.01.2018 04:45 - 04.01.2018 05:00","47498","53187"
"04.01.2018 05:00 - 04.01.2018 05:15","48682","54064"
"04.01.2018 05:15 - 04.01.2018 05:30","49106","54351"
"04.01.2018 05:30 - 04.01.2018 05:45","50034","55607"
"04.01.2018 05:45 - 04.01.2018 06:00","51103","56869"
"04.01.2018 06:00 - 04.01.2018 06:15","53294","58586"
"04.01.2018 06:15 - 04.01.2018 06:30","55173","60067"
"04.01.2018 06:30 - 04.01.2018 06:45","56615","61871"
"04.01.2018 06:45 - 04.01.2018 07:00","57845","63464"
"04.01.2018 07:00 - 04.01.2018 07:15","59645","65077"
"04.01.2018 07:15 - 04.01.2018 07:30","60283","66085"
"04.01.2018 07:30 - 04.01.2018 07:45","60514","67032"
"04.01.2018 07:45 - 04.01.2018 08:00","61759","68004"
"04.01.2018 08:00 - 04.01.2018 08:15","62614","69545"
"04.01.2018 08:15 - 04.01.2018 08:30","63003","69515"
"04.01.2018 08:30 - 04.01.2018 08:45","63362","69524"
"04.01.2018 08:45 - 04.01.2018 09:00","63323","69838"
"04.01.2018 09:00 - 04.01.2018 09:15","63908","69570"
"04.01.2018 09:15 - 04.01.2018 09:30","64247","69926"
"04.01.2018 09:30 - 04.01.2018 09:45","64580","70143"
"04.01.2018 09:45 - 04.01.2018 10:00","64676","70289"
"04.01.2018 10:00 - 04.01.2018 10:15","64718","70536"
"04.01.2018 10:15 - 04.01.2018 10:30","65264","70793"
"04.01.2018 10:30 - 04.01.2018 10:45","65344","71303"
"04.01.2018 10:45 - 04.01.2018 11:00","65412","71615"
"04.01.2018 11:00 - 04.01.2018 11:15","66020","71758"
"04.01.2018 11:15 - 04.01.2018 11:30","66218","72183"
"04.01.2018 11:30 - 04.01.2018 11:45","66611","72201"
"04.01.2018 11:45 - 04.01.2018 12:00","66729","72202"
"04.01.2018 12:00 - 04.01.2018 12:15","66514","72001"
"04.01.2018 12:15 - 04.01.2018 12:30","66557","71791"
"04.01.2018 12:30 - 04.01.2018 12:45","66405","71485"
"04.01.2018 12:45 - 04.01.2018 13:00","66384","71461"
"04.01.2018 13:00 - 04.01.2018 13:15","66503","71225"
"04.01.2018 13:15 - 04.01.2018 13:30","65972","70910"
"04.01.2018 13:30 - 04.01.2018 13:45","65608","70532"
"04.01.2018 13:45 - 04.01.2018 14:00","64828","69758"
"04.01.2018 14:00 - 04.01.2018 14:15","64734","69523"
"04.01.2018 14:15 - 04.01.2018 14:30","64317","69321"
"04.01.2018 14:30 - 04.01.2018 14:45","64487","69120"
"04.01.2018 14:45 - 04.01.2018 15:00","64666","68715"
"04.01.2018 15:00 - 04.01.2018 15:15","64944","69021"
"04.01.2018 15:15 - 04.01.2018 15:30","64043","68831"
"04.01.2018 15:30 - 04.01.2018 15:45","64026","68833"
"04.01.2018 15:45 - 04.01.2018 16:00","63928","68860"
"04.01.2018 16:00 - 04.01.2018 16:15","64207","69462"
"04.01.2018 16:15 - 04.01.2018 16:30","64620","69571"
"04.01.2018 16:30 - 04.01.2018 16:45","65261","70132"
"04.01.2018 16:45 - 04.01.2018 17:00","65616","71004"
"04.01.2018 17:00 - 04.01.2018 17:15","66634","71545"
"04.01.2018 17:15 - 04.01.2018 17:30","66914","71602"
"04.01.2018 17:30 - 04.01.2018 17:45","67465","72030"
"04.01.2018 17:45 - 04.01.2018 18:00","67456","72261"
"04.01.2018 18:00 - 04.01.2018 18:15","66944","71696"
"04.01.2018 18:15 - 04.01.2018 18:30","67086","71278"
"04.01.2018 18:30 - 04.01.2018 18:45","66716","71230"
"04.01.2018 18:45 - 04.01.2018 19:00","66590","70834"
"04.01.2018 19:00 - 04.01.2018 19:15","66297","70604"
"04.01.2018 19:15 - 04.01.2018 19:30","65727","69509"
"04.01.2018 19:30 - 04.01.2018 19:45","65217","68991"
"04.01.2018 19:45 - 04.01.2018 20:00","64669","68621"
"04.01.2018 20:00 - 04.01.2018 20:15","63252","67897"
"04.01.2018 20:15 - 04.01.2018 20:30","61704","66548"
"04.01.2018 20:30 - 04.01.2018 20:45","61042","65950"
